question, answer
1.01. Ismertesse az egyenáram fogalmát?, Olyan áram amely mindig ugyanabba az irányba halad és az áramerősség állandó értékű. Ez azt jelenti hogy az elektronok mozgása folyamatosan a negatív pólustól a pozitív pólus felé történik.
1.02. Milyen források szolgáltatnak egyenáramot?, Akkumulátorok; napcellák; termoelemek; és a katódsugárzók.
1.03. Ismertesse az Ohm-törvényt?, Az Ohm-törvény szerint az áramerősség (I) egyenlő a feszültség (U) és a ellenállás (R) hányadosával: I = U / R.
1.04. Milyen áramköri elemeket ismer egyenáramú áramkörökben?, Vezetők; ellenállások; kapacitások és induktivitások.
1.05. Hogyan mérhető az áramerősség egy egyenáramú áramkörben?, Amperméterrel.
1.06. Hogyan mérhető a feszültség egy egyenáramú áramkörben?, Voltméterrel.
1.07. Ismertesse a soros és párhuzamos kapcsolást egyenáramú áramkörökben?, A soros kapcsolásban az elemek egymás után vannak csatlakoztatva így az áramerősség minden elemre ugyanaz de a feszültségek összege adja a teljes feszültséget. A párhuzamos kapcsolásban az elemek párhuzamosan vannak csatlakoztatva így minden elem ugyanolyan feszültséget kap de az áramerősségek összege adja a teljes áramerősséget.
1.08. Milyen veszteségek lépnek fel egyenáramú áramkörökben?, A vezetékek ellenállása miatt fellépő hőveszteségek és az elektromos energia elvételének következtében keletkező veszteségek.
1.09. Ismertesse a vezetőképesség fogalmát és mértékegységét?, A vezetőképesség azt mutatja meg hogy mennyire jól vezeti az anyag az elektromos áramot; mértékegysége Siemens (S).
1.10. Milyen tényezők befolyásolják a vezetőképességet?, Az anyag típusa; hőmérséklet; keresztmetszeti terület és a vezeték hossza.
1.11. Mekkora az izzólámpa ellenállása ha 6V feszültségre kapcsolva 400mA áram folyik át rajta?, Az ellenállás Ohm törvénye szerint R = U/I. Tehát R = 6V / 0.4A = 15 Ω.
1.12. Egy telepre/áramforrásra sorosan két ellenállást kapcsolunk: 250Ω és 500Ω. Az áramkörben folyó áram 40mA. Számítsuk ki az áramforrás/telep feszültségét?, Az összellenállás R_össz = 250Ω + 500Ω = 750Ω.; Az áramforrás feszültsége U = I * R_össz = 0.04A * 750Ω = 30V.
1.13. Ha párhuzamosan kapcsolunk egy 200Ω; egy 250Ω és egy 500Ω ellenállást mennyi az eredő ellenállás?, Az eredő ellenállás párhuzamos kapcsolás esetén: 1/R_össz = 1/R1 + 1/R2 + 1/R3. Tehát 1/R_össz = 1/200Ω + 1/250Ω + 1/500Ω = 0.005 + 0.004 + 0.002 = 0.011. Így R_össz ≈ 90.91 Ω.
1.14. Egy zseblámpaizzó 10V-os telepre kapcsolva 2W teljesítménnyel világít. Mekkora áramerősség folyik rajta?, A teljesítmény P = U * I alapján az áramerősség I = P / U.; Tehát I = 2W / 10V = 0.2A vagy 200mA.  
1.15. Egy áramkör főágában 600mA az áram erőssége. Mennyi az elektromos munka 30 perc alatt ha az áramforrás feszültsége 12V?, Az elektromos munka W = U * I * t. Először alakítsuk át az időt másodpercre: 30 perc = 1800 s. Tehát W = 12V * 0.6A * 1800s = 12960 J vagy 12.96 kJ.
2.01. Mi a katódsugár?,  A katódsugár egy vákuumban mozgó elektronokból álló sugár amelyet egy katódsugárcsőben hoznak létre elektromos mező segítségével.   
