question,answer
Milyen előnyei vannak a fáziskontraszt mikroszkópiának a fénymikroszkóppal szemben?, vizsgálhatók festetlen élő objektumok
Nevezzen meg 2 anizotróp struktúrát?, keratin a hajban; rugalmas rostok az aortában; keményítőszemcse
Nevezzen meg 2 anyagot mely PAS-reakcióval kimutatható?, glikogén; glikoproteinek; glikolipidek
Sorolja fel a citoszkeleton elemeit (3)?, mikrotubulusok; intermedier filamentumok; (aktin) mikrofilamentumok
Soroljon fel a citoszkeleton funkciói közül hármat?, sejt alakjának meghatározása; sejt aktív mozgásában való részvétel; sejtosztódásban való részvétel; organellumok transzportjában való részvétel
Sorolja fel az aktin-polimerizáció lépéseit?, G-aktin → nukleáció → elongáció → F-aktin
Soroljon fel 3 aktinkötő fehérjét?, fimbrin; a-aktinin; filamin; villin; vinkulin; fodrin
Írja le az intermedier filamentumok szerveződésének lépéseit?, monomer → dimer → tetramer → protofilamentum → filamentum
Mely sejttípusokban találhatók a következő intermedier filamentum-típusok: keratin; vimentin; dezmin?, keratin: epithelialis sejtekben; vimentin: kötőszöveti sejtekben; simaizomsejtekben és fehérvérsejtekben; dezmin: harántcsíkolt izomban
Mely sejttípusokban találhatók a következő intermedier filamentum-típusok: periferin; neurofilamentum; lamin?, periferin: perifériás idegrendszer idegsejtjeiben; neurofilamentum: központi idegrendszer neuronjaiban; lamin: minden sejtmaggal rendelkező sejtben
Nevezzen meg egy intermedier filamentum-betegséget; a mutációt szenvedett gén nevével együtt?, epidermolysis bullosa simplex (citokeratin); familiaris cardiomyopathia (dezmin); amyotrophiás lateralsclerosis (neurofilamentum)
Nevezzen meg egy; a mikrotubulusok polimerizációját gátló szert?, kolhicin; vinkrisztin; vinblasztin; grizeofulvin
Nevezzen meg 2 mikrotubulus-motorfehérjét?, kinezin; dinein
Melyik citoszkeleton-elem felelős a csillók mozgásáért?, Mikrotubulusok
Miből állnak a stressz-rostok?, aktin mikrofilamentumokból
Mi jellemző a Duchenne-féle muscularis dystrophiára (3)?, X-hez kötött recesszív öröklődés; disztrofin fehérje hiánya; progresszív izomdegeneráció
Mi alkotja a membránok alapszerkezetét (2)?, lipid kettősréteg és ebben fehérjék
Miből épül fel a foszfatidsav?, glicerin; 2 zsírsav; foszforsav
Milyen csoportjait különböztetjük meg a membránfehérjéknek a membránhoz viszonyított helyzetük alapján (3)?, perifériás; integráns; transzmembrán fehérjék
Mi a neve annak a fehérjetípusnak; amely a membrán mindkét felszínével érintkezik?, transzmembrán fehérje
Mi a neve a foszfolipid kettősréteg által határolt mesterséges vezikulumoknak?, liposzómák
Írjon 2 példát transzmembrán fehérjére?, receptorok; csatornafehérjék; ionpumpák
Hogyan befolyásolja az olajsavtartalom a membrán folyékonyságát?, nagyobb olajsavtartalom → folyékonyabb membrán
Soroljon fel a membrán fő funkciói közül hármat?, szelektív transzport; iongrádiensek fenntartása; jelátvitel; sejt-sejt közötti kapcsolatok; sejt-mátrix kapcsolatok
Írjon példát lezáró típusú sejtkapcsolatra?, zonula occludens (tight junction)
Nevezzen meg 3 lehorgonyzó típusú sejtkapcsolatot?, zonula adherens (övdezmoszóma); macula adherens (foltdezmoszóma); hemidezmoszóma; fokális adhézió
Írjon példát kommunikáló típusú sejtkapcsolatra?, gap junction
Melyik sejt kapcsolat-típus kötődik az aktin mikrofilamentum-rendszerhez?, zonula adherens (övdezmoszóma)
Milyen citoszkeleton-elemekkel van kapcsolatban a folt dezmoszóma?, intermedier filamentumokkal
Melyek az extracelluláris mátrix fő funkcionális egységei (5)?, kollagénrostok; glikózaminoglikánok; proteoglikánok; multiadhezív proteinek; integrinek
Soroljon fel az extracelluláris mátrix fő funkciói közül hármat?, szövetek alapváza; sejtkitapadás; sejtalak befolyásolása; szignáltranszdukciós folyamatok
Mi a molekuláris háttere a C-vitaminhiány következtében kialakuló skorbutnak?, csökkent kollagén-hidroxiláció
Melyek azok a transzmembránfehérjék; amelyek receptorként működnek és a sejt/szöveti integritás fenntartásához elengedhetetlenek?, integrinek
A passzív transzport melyik típusára példa a sejtek szétpukkadása desztillált vízben?, ozmózis
Milyen típusú transzportot hajt végre a glükóz transzporter?, facilitált diffúzió
Milyen típusú fehérjék az aquaporinok?, vízcsatornák
Milyen irányba pumpál ionokat a Na+/K+ ATP-áz?, Na+-ot kifelé; K+-ot befelé
Mi tartja fenn egy sejtben a nyugalmi potenciált?, Na+/K+ ATPáz
Nevezzen meg egy P-típusú transzport ATP-ázt?, Na+/K+-pumpa; Ca2+-pumpa
Nevezzen meg egy V-típusú transzport ATP-ázt?, lizoszómális proton-pumpa
Milyen transzport fehérje biztosítja a glükóz felvételét a vékonybél hámsejtekbe?, Na+/glükóz-szimporter
