question, answer
1. Definiálja az izotópok fogalmát!, Azonos protonszámú; de eltérő neutronszámú atomok halmaza. Elnevezésük a periódusos rendszerben elfoglalt azonos helyükből származik; a természetben előforduló izotópok aránya az elemre jellemző adat.
2. Adja meg  hogyan változik az elektronegativitás értéke a periódusos rendszerben az oszlopokon belül illetve a sorokon belül (Két választ adjon)!, Az elektronegativitás értéke periódikusan változik egyes perióduson (‘sorokban’) nő; míg a főcsoportokban (oszlopokban) csökken.
3. Rajzolja fel a H2O molekula szerkezeti képletét úgy  hogy az ábra tükrözze a molekula geometriáját. Jelölje a képleten a molekula polaritását is! , A víz molekulája V-alakú (szögben hajlított) mert az oxigén atomhoz két hidrogén kapcsolódik és két nemkötő elektronpár van rajta.; A kötési szög kb. 104,5°, ami a tetraéderes elrendezés torzult változata.; Az oxigén elektronegativitása miatt a molekula poláris, az oxigén részlegesen negatív (δ⁻), a hidrogének részlegesen pozitívak (δ⁺).; Az oxigén felé mutató nyíl a dipólus irányát jelzi: δ⁻ az O-n, δ⁺ a H-ken.
4. Sorolja fel a másodlagos kémiai kötéseket növekvő erősség szerinti sorrendben! ,London-féle diszperziós kölcsönhatás (1-10 kJ/mol) ; dipólus-dipólus kölcsönhatás (3-4 kJ/mol); hidrogén-kötés (10-40 kJ/mol)
5. Rajzoljon példát szerkezeti képletekkel intermolekuláris és intramolekuláris hidrogénkötésre! ,
6. Adja meg azokat a tulajdonságokat  amelyek a kinetikus gázelmélet szerint az ideális gázokra jellemzőek! ,A részecskék egymástól távol helyezkednek el gyors rendezetlen mozgást végeznek.; A részecskék saját térfogata elhanyagolgató a rendszer (gáz) teljes térfogatához képest.; A részecskék között semmilyen kölcsönhatás nem áll fenn.; A részecskék ütközése elasztikus.; Adott hőmérsékleten azonos számú részecske az anyagi minőségtől függetlenül azonos kinetikus energiával rendelkezik.; A gáz részecskék átlagos kinetikus energiája az abszolút hőmérséklettel arányos.
7. Írja fel az egyesített gáztörvényt. Adja meg az egyes jelölések jelentését is! ,
8. Írja fel az ideális gáztörvényt. Adja meg az egyes jelölések jelentését is! ,
9. Rajzoljon diagramot  amely két különböző hőmérsékleten ábrázolja egy ideális gáz molekuláinak sebesség-eloszlását! ,
10. Írja fel azt az egyenletet  amely segítségével az abszolút hőmérsékleti skálán és a Celsius-skálán mért hőmérséklet-értékek egymásba átszámolhatók. Adja meg az egyes jelölések jelentését is! , 
